1.995000000000000107e+00 3.848253168504573440e-01
1.995000000000000107e+00 5.900347218545936023e-01
1.995156625526701921e+00 1.004615718406801195e+00
1.994999999999999662e+00 1.385926652278986593e+00
1.995031723924494571e+00 1.767136376836331513e+00
1.994999999999999440e+00 2.121270319362432044e+00
1.995000000000000107e+00 2.440085623884596266e+00
1.995000000000000107e+00 2.870172497499962283e+00
1.995000000000000107e+00 3.219535746788956931e+00
1.994999999999999440e+00 3.557326092960491515e+00
1.995256492859146302e+00 3.938246727816600679e+00
